"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-run\model.nlogo"
"share-sweep"
"02/20/2026 17:59:56:523 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"1","0.1","1.56","1.56","1","3.7","2","80","542","43","499","0.07933579335793357"
"2","0.1","1.56","1.56","1","3.7","2","80","478","46","432","0.09623430962343096"
"3","0.1","1.56","1.56","1","3.7","2","80","466","55","411","0.11802575107296137"
"4","0.1","1.56","1.56","1","3.7","2","80","548","62","486","0.11313868613138686"
"5","0.1","1.56","1.56","1","3.7","2","80","493","64","429","0.12981744421906694"
"6","0.1","1.56","1.56","1","3.7","2","80","556","70","486","0.12589928057553956"
"7","0.1","1.56","1.56","1","3.7","2","80","507","50","457","0.09861932938856016"
"8","0.1","1.56","1.56","1","3.7","2","80","545","57","488","0.10458715596330276"
"9","0.1","1.56","1.56","1","3.7","2","80","505","45","460","0.0891089108910891"
"10","0.1","1.56","1.56","1","3.7","2","80","521","50","471","0.09596928982725528"
"11","0.1","1.56","1.56","1","3.7","2","80","518","69","449","0.13320463320463322"
"12","0.1","1.56","1.56","1","3.7","2","80","451","42","409","0.09312638580931264"
"13","0.1","1.56","1.56","1","3.7","2","80","589","61","528","0.1035653650254669"
"14","0.1","1.56","1.56","1","3.7","2","80","458","39","419","0.0851528384279476"
"15","0.1","1.56","1.56","1","3.7","2","80","629","90","539","0.14308426073131955"
"16","0.1","1.56","1.56","1","3.7","2","80","479","36","443","0.07515657620041753"
"17","0.1","1.56","1.56","1","3.7","2","80","500","54","446","0.108"
"18","0.1","1.56","1.56","1","3.7","2","80","515","57","458","0.11067961165048544"
"19","0.1","1.56","1.56","1","3.7","2","80","475","40","435","0.08421052631578947"
"20","0.1","1.56","1.56","1","3.7","2","80","613","34","579","0.05546492659053834"
"21","0.1","1.56","1.56","1","3.7","2","80","523","43","480","0.08221797323135756"
"22","0.1","1.56","1.56","1","3.7","2","80","491","31","460","0.06313645621181263"
"23","0.1","1.56","1.56","1","3.7","2","80","571","71","500","0.1243432574430823"
"24","0.1","1.56","1.56","1","3.7","2","80","426","30","396","0.07042253521126761"
"25","0.1","1.56","1.56","1","3.7","2","80","493","62","431","0.1257606490872211"
"26","0.1","1.56","1.56","1","3.7","2","80","572","50","522","0.08741258741258741"
"27","0.1","1.56","1.56","1","3.7","2","80","548","44","504","0.08029197080291971"
"28","0.1","1.56","1.56","1","3.7","2","80","588","52","536","0.08843537414965986"
"29","0.1","1.56","1.56","1","3.7","2","80","542","41","501","0.07564575645756458"
"30","0.1","1.56","1.56","1","3.7","2","80","545","50","495","0.09174311926605505"
"31","0.47","1.56","1.56","1","3.7","2","80","458","110","348","0.24017467248908297"
"32","0.47","1.56","1.56","1","3.7","2","80","535","146","389","0.27289719626168224"
"33","0.47","1.56","1.56","1","3.7","2","80","551","117","434","0.21234119782214156"
"34","0.47","1.56","1.56","1","3.7","2","80","541","119","422","0.2199630314232902"
"35","0.47","1.56","1.56","1","3.7","2","80","533","116","417","0.2176360225140713"
"36","0.47","1.56","1.56","1","3.7","2","80","591","171","420","0.2893401015228426"
"37","0.47","1.56","1.56","1","3.7","2","80","592","108","484","0.18243243243243243"
"38","0.47","1.56","1.56","1","3.7","2","80","565","128","437","0.22654867256637168"
"39","0.47","1.56","1.56","1","3.7","2","80","420","106","314","0.2523809523809524"
"40","0.47","1.56","1.56","1","3.7","2","80","448","98","350","0.21875"
"41","0.47","1.56","1.56","1","3.7","2","80","526","145","381","0.27566539923954375"
"42","0.47","1.56","1.56","1","3.7","2","80","480","131","349","0.27291666666666664"
"43","0.47","1.56","1.56","1","3.7","2","80","503","114","389","0.22664015904572565"
"44","0.47","1.56","1.56","1","3.7","2","80","418","99","319","0.23684210526315788"
"45","0.47","1.56","1.56","1","3.7","2","80","535","163","372","0.30467289719626167"
"46","0.47","1.56","1.56","1","3.7","2","80","457","119","338","0.2603938730853392"
"47","0.47","1.56","1.56","1","3.7","2","80","503","134","369","0.2664015904572565"
"48","0.47","1.56","1.56","1","3.7","2","80","583","153","430","0.2624356775300172"
"49","0.47","1.56","1.56","1","3.7","2","80","536","155","381","0.2891791044776119"
"50","0.47","1.56","1.56","1","3.7","2","80","523","106","417","0.20267686424474188"
"51","0.47","1.56","1.56","1","3.7","2","80","464","136","328","0.29310344827586204"
"52","0.47","1.56","1.56","1","3.7","2","80","508","128","380","0.25196850393700787"
"53","0.47","1.56","1.56","1","3.7","2","80","523","126","397","0.24091778202676864"
"54","0.47","1.56","1.56","1","3.7","2","80","495","114","381","0.23030303030303031"
"55","0.47","1.56","1.56","1","3.7","2","80","461","127","334","0.2754880694143167"
"56","0.47","1.56","1.56","1","3.7","2","80","540","118","422","0.21851851851851853"
"57","0.47","1.56","1.56","1","3.7","2","80","537","146","391","0.2718808193668529"
"58","0.47","1.56","1.56","1","3.7","2","80","524","93","431","0.17748091603053434"
"59","0.47","1.56","1.56","1","3.7","2","80","466","121","345","0.259656652360515"
"60","0.47","1.56","1.56","1","3.7","2","80","541","132","409","0.24399260628465805"
"61","0.7","1.56","1.56","1","3.7","2","80","517","162","355","0.31334622823984526"
"62","0.7","1.56","1.56","1","3.7","2","80","492","178","314","0.3617886178861789"
"63","0.7","1.56","1.56","1","3.7","2","80","515","174","341","0.3378640776699029"
"64","0.7","1.56","1.56","1","3.7","2","80","518","182","336","0.35135135135135137"
"65","0.7","1.56","1.56","1","3.7","2","80","425","160","265","0.3764705882352941"
"66","0.7","1.56","1.56","1","3.7","2","80","547","178","369","0.32541133455210236"
"67","0.7","1.56","1.56","1","3.7","2","80","496","178","318","0.3588709677419355"
"68","0.7","1.56","1.56","1","3.7","2","80","540","169","371","0.31296296296296294"
"69","0.7","1.56","1.56","1","3.7","2","80","542","185","357","0.3413284132841328"
"70","0.7","1.56","1.56","1","3.7","2","80","511","159","352","0.3111545988258317"
"71","0.7","1.56","1.56","1","3.7","2","80","503","164","339","0.3260437375745527"
"72","0.7","1.56","1.56","1","3.7","2","80","496","168","328","0.3387096774193548"
"73","0.7","1.56","1.56","1","3.7","2","80","524","174","350","0.3320610687022901"
"74","0.7","1.56","1.56","1","3.7","2","80","474","162","312","0.34177215189873417"
"75","0.7","1.56","1.56","1","3.7","2","80","469","207","262","0.44136460554371004"
"76","0.7","1.56","1.56","1","3.7","2","80","476","138","338","0.28991596638655465"
"77","0.7","1.56","1.56","1","3.7","2","80","504","174","330","0.34523809523809523"
"78","0.7","1.56","1.56","1","3.7","2","80","492","175","317","0.3556910569105691"
"79","0.7","1.56","1.56","1","3.7","2","80","476","164","312","0.3445378151260504"
"80","0.7","1.56","1.56","1","3.7","2","80","523","209","314","0.39961759082217974"
"81","0.7","1.56","1.56","1","3.7","2","80","514","160","354","0.311284046692607"
"82","0.7","1.56","1.56","1","3.7","2","80","535","190","345","0.35514018691588783"
"83","0.7","1.56","1.56","1","3.7","2","80","498","190","308","0.3815261044176707"
"84","0.7","1.56","1.56","1","3.7","2","80","548","187","361","0.34124087591240876"
"85","0.7","1.56","1.56","1","3.7","2","80","517","162","355","0.31334622823984526"
"86","0.7","1.56","1.56","1","3.7","2","80","608","195","413","0.3207236842105263"
"87","0.7","1.56","1.56","1","3.7","2","80","513","154","359","0.3001949317738791"
"88","0.7","1.56","1.56","1","3.7","2","80","556","178","378","0.32014388489208634"
"89","0.7","1.56","1.56","1","3.7","2","80","480","141","339","0.29375"
"90","0.7","1.56","1.56","1","3.7","2","80","530","157","373","0.2962264150943396"
